time step, avg grain size, grains left
1.000000e-001,1.175122e+003,10
2.000000e-001,1.175008e+003,10
3.000000e-001,1.173739e+003,10
4.000000e-001,1.172512e+003,10
5.000000e-001,1.172216e+003,10
6.000000e-001,1.171677e+003,10
7.000000e-001,1.181412e+003,10
8.000000e-001,1.182842e+003,10
9.000000e-001,1.185087e+003,10
1.000000e+000,1.185695e+003,10
1.100000e+000,1.187075e+003,10
1.200000e+000,1.188279e+003,10
1.300000e+000,1.188967e+003,10
1.400000e+000,1.190661e+003,10
1.500000e+000,1.194062e+003,10
1.600000e+000,1.194704e+003,10
1.700000e+000,1.195736e+003,10
1.800000e+000,1.195066e+003,10
1.900000e+000,1.195216e+003,10
2.000000e+000,1.194714e+003,10
2.100000e+000,1.195329e+003,10
2.200000e+000,1.195254e+003,10
2.300000e+000,1.195529e+003,10
2.400000e+000,1.195856e+003,10
2.500000e+000,1.196596e+003,10
2.600000e+000,1.197459e+003,10
2.700000e+000,1.197385e+003,10
2.800000e+000,1.197783e+003,10
2.900000e+000,1.198392e+003,10
3.000000e+000,1.198955e+003,10
3.100000e+000,1.199242e+003,10
3.200000e+000,1.199249e+003,10
3.300000e+000,1.199262e+003,10
3.400000e+000,1.199216e+003,10
3.500000e+000,1.199348e+003,10
3.600000e+000,1.199093e+003,10
3.700000e+000,1.199005e+003,10
3.800000e+000,1.199379e+003,10
3.900000e+000,1.199998e+003,10
4.000000e+000,1.199902e+003,10
4.100000e+000,1.199128e+003,10
4.200000e+000,1.198473e+003,10
4.300000e+000,1.198574e+003,10
4.400000e+000,1.198489e+003,10
4.500000e+000,1.198616e+003,10
4.600000e+000,1.197212e+003,10
4.700000e+000,1.197085e+003,10
4.800000e+000,1.197239e+003,10
4.900000e+000,1.197754e+003,10
5.000000e+000,1.197923e+003,10
5.100000e+000,1.197435e+003,10
5.200000e+000,1.197402e+003,10
5.300000e+000,1.197182e+003,10
5.400000e+000,1.196831e+003,10
5.500000e+000,1.196815e+003,10
5.600000e+000,1.196095e+003,10
5.700000e+000,1.196577e+003,10
5.800000e+000,1.197566e+003,10
5.900000e+000,1.197969e+003,10
6.000000e+000,1.197451e+003,10
6.100000e+000,1.198085e+003,10
6.200000e+000,1.198425e+003,10
6.300000e+000,1.198409e+003,10
6.400000e+000,1.198632e+003,10
6.500000e+000,1.198029e+003,10
6.600000e+000,1.197858e+003,10
6.700000e+000,1.196893e+003,10
6.800000e+000,1.196874e+003,10
6.900000e+000,1.196807e+003,10
7.000000e+000,1.196460e+003,10
7.100000e+000,1.196568e+003,10
7.200000e+000,1.196926e+003,10
7.300000e+000,1.196789e+003,10
7.400000e+000,1.196741e+003,10
7.500000e+000,1.197214e+003,10
7.600000e+000,1.196871e+003,10
7.700000e+000,1.196886e+003,10
7.800000e+000,1.197373e+003,10
7.900000e+000,1.197627e+003,10
8.000000e+000,1.197441e+003,10
8.100000e+000,1.197769e+003,10
8.200000e+000,1.197219e+003,10
8.300000e+000,1.197244e+003,10
8.400000e+000,1.196498e+003,10
8.500000e+000,1.195790e+003,10
8.600000e+000,1.195506e+003,10
8.700000e+000,1.195552e+003,10
8.800000e+000,1.194637e+003,10
8.900000e+000,1.193825e+003,10
9.000000e+000,1.192898e+003,10
9.100000e+000,1.192777e+003,10
9.200000e+000,1.192929e+003,10
9.300000e+000,1.193065e+003,10
9.400000e+000,1.193390e+003,10
9.500000e+000,1.193241e+003,10
9.600000e+000,1.193046e+003,10
9.700000e+000,1.193102e+003,10
9.800000e+000,1.192829e+003,10
9.900000e+000,1.193314e+003,10
1.000000e+001,1.193296e+003,10
1.010000e+001,1.193086e+003,10
1.020000e+001,1.193373e+003,10
1.030000e+001,1.193854e+003,10
1.040000e+001,1.193899e+003,10
1.050000e+001,1.193397e+003,10
1.060000e+001,1.193180e+003,10
1.070000e+001,1.192844e+003,10
1.080000e+001,1.193194e+003,10
1.090000e+001,1.193003e+003,10
1.100000e+001,1.193001e+003,10
1.110000e+001,1.193269e+003,10
1.120000e+001,1.193586e+003,10
1.130000e+001,1.193394e+003,10
1.140000e+001,1.193178e+003,10
1.150000e+001,1.193053e+003,10
1.160000e+001,1.193083e+003,10
1.170000e+001,1.192288e+003,10
1.180000e+001,1.192213e+003,10
1.190000e+001,1.191636e+003,10
1.200000e+001,1.191412e+003,10
1.210000e+001,1.191427e+003,10
1.220000e+001,1.191209e+003,10
1.230000e+001,1.190941e+003,10
1.240000e+001,1.190995e+003,10
1.250000e+001,1.191626e+003,10
1.260000e+001,1.191067e+003,10
1.270000e+001,1.190526e+003,10
1.280000e+001,1.190677e+003,10
1.290000e+001,1.190471e+003,10
1.300000e+001,1.189823e+003,10
1.310000e+001,1.189874e+003,10
1.320000e+001,1.190022e+003,10
1.330000e+001,1.190278e+003,10
1.340000e+001,1.190395e+003,10
1.350000e+001,1.190169e+003,10
1.360000e+001,1.190171e+003,10
1.370000e+001,1.190198e+003,10
1.380000e+001,1.189788e+003,10
1.390000e+001,1.189247e+003,10
1.400000e+001,1.189131e+003,10
1.410000e+001,1.188240e+003,10
1.420000e+001,1.188377e+003,10
1.430000e+001,1.187823e+003,10
1.440000e+001,1.188362e+003,10
1.450000e+001,1.188168e+003,10
1.460000e+001,1.188295e+003,10
1.470000e+001,1.187941e+003,10
1.480000e+001,1.187889e+003,10
1.490000e+001,1.188432e+003,10
1.500000e+001,1.188142e+003,10
1.510000e+001,1.188308e+003,10
1.520000e+001,1.187479e+003,10
1.530000e+001,1.187513e+003,10
1.540000e+001,1.187054e+003,10
1.550000e+001,1.186768e+003,10
1.560000e+001,1.186264e+003,10
1.570000e+001,1.186144e+003,10
1.580000e+001,1.186285e+003,10
1.590000e+001,1.185733e+003,10
1.600000e+001,1.185507e+003,10
1.610000e+001,1.185521e+003,10
1.620000e+001,1.185755e+003,10
1.630000e+001,1.185412e+003,10
1.640000e+001,1.185733e+003,10
1.650000e+001,1.185696e+003,10
1.660000e+001,1.185076e+003,10
1.670000e+001,1.185170e+003,10
1.680000e+001,1.184691e+003,10
1.690000e+001,1.184297e+003,10
1.700000e+001,1.184221e+003,10
1.710000e+001,1.184901e+003,10
1.720000e+001,1.184808e+003,10
1.730000e+001,1.184821e+003,10
1.740000e+001,1.184741e+003,10
1.750000e+001,1.184933e+003,10
1.760000e+001,1.185038e+003,10
1.770000e+001,1.185034e+003,10
1.780000e+001,1.184943e+003,10
1.790000e+001,1.184751e+003,10
1.800000e+001,1.184327e+003,10
1.810000e+001,1.183378e+003,10
1.820000e+001,1.182908e+003,10
1.830000e+001,1.183153e+003,10
1.840000e+001,1.183276e+003,10
1.850000e+001,1.183140e+003,10
1.860000e+001,1.182757e+003,10
1.870000e+001,1.182408e+003,10
1.880000e+001,1.182199e+003,10
1.890000e+001,1.182369e+003,10
1.900000e+001,1.182014e+003,10
1.910000e+001,1.181968e+003,10
1.920000e+001,1.182019e+003,10
1.930000e+001,1.182137e+003,10
1.940000e+001,1.182246e+003,10
1.950000e+001,1.182069e+003,10
1.960000e+001,1.181513e+003,10
1.970000e+001,1.180480e+003,10
1.980000e+001,1.180275e+003,10
1.990000e+001,1.180397e+003,10
2.000000e+001,1.180070e+003,10
2.010000e+001,1.179674e+003,10
2.020000e+001,1.179573e+003,10
2.030000e+001,1.179355e+003,10
2.040000e+001,1.179260e+003,10
2.050000e+001,1.179437e+003,10
2.060000e+001,1.180033e+003,10
2.070000e+001,1.179784e+003,10
2.080000e+001,1.179483e+003,10
2.090000e+001,1.179346e+003,10
2.100000e+001,1.179217e+003,10
2.110000e+001,1.178745e+003,10
2.120000e+001,1.177950e+003,10
2.130000e+001,1.177397e+003,10
2.140000e+001,1.177820e+003,10
2.150000e+001,1.178153e+003,10
2.160000e+001,1.178027e+003,10
2.170000e+001,1.177888e+003,10
2.180000e+001,1.177694e+003,10
2.190000e+001,1.177399e+003,10
2.200000e+001,1.177184e+003,10
2.210000e+001,1.176157e+003,10
2.220000e+001,1.176668e+003,10
2.230000e+001,1.176836e+003,10
2.240000e+001,1.176536e+003,10
2.250000e+001,1.176378e+003,10
2.260000e+001,1.175767e+003,10
2.270000e+001,1.175903e+003,10
2.280000e+001,1.176137e+003,10
2.290000e+001,1.176057e+003,10
2.300000e+001,1.176308e+003,10
2.310000e+001,1.176336e+003,10
2.320000e+001,1.175604e+003,10
2.330000e+001,1.175909e+003,10
2.340000e+001,1.176208e+003,10
2.350000e+001,1.175895e+003,10
2.360000e+001,1.175908e+003,10
2.370000e+001,1.175837e+003,10
2.380000e+001,1.175723e+003,10
2.390000e+001,1.175618e+003,10
2.400000e+001,1.174889e+003,10
2.410000e+001,1.174417e+003,10
2.420000e+001,1.174072e+003,10
2.430000e+001,1.173075e+003,10
2.440000e+001,1.172663e+003,10
2.450000e+001,1.172295e+003,10
2.460000e+001,1.172460e+003,10
2.470000e+001,1.172056e+003,10
2.480000e+001,1.171269e+003,10
2.490000e+001,1.171625e+003,10
2.500000e+001,1.170796e+003,10
2.510000e+001,1.169953e+003,10
2.520000e+001,1.169615e+003,10
2.530000e+001,1.168873e+003,10
2.540000e+001,1.168561e+003,10
2.550000e+001,1.168731e+003,10
2.560000e+001,1.168406e+003,10
2.570000e+001,1.167387e+003,10
2.580000e+001,1.167303e+003,10
2.590000e+001,1.166979e+003,10
2.600000e+001,1.167006e+003,10
2.610000e+001,1.166351e+003,10
2.620000e+001,1.165730e+003,10
2.630000e+001,1.165852e+003,10
2.640000e+001,1.165858e+003,10
2.650000e+001,1.165605e+003,10
2.660000e+001,1.165583e+003,10
2.670000e+001,1.165832e+003,10
2.680000e+001,1.165000e+003,10
2.690000e+001,1.164441e+003,10
2.700000e+001,1.164016e+003,10
2.710000e+001,1.164229e+003,10
2.720000e+001,1.165068e+003,10
2.730000e+001,1.164942e+003,10
2.740000e+001,1.164924e+003,10
2.750000e+001,1.164440e+003,10
2.760000e+001,1.164476e+003,10
2.770000e+001,1.164126e+003,10
2.780000e+001,1.163683e+003,10
2.790000e+001,1.163630e+003,10
2.800000e+001,1.162787e+003,10
2.810000e+001,1.162693e+003,10
2.820000e+001,1.162760e+003,10
2.830000e+001,1.162342e+003,10
2.840000e+001,1.161875e+003,10
2.850000e+001,1.162280e+003,10
2.860000e+001,1.162605e+003,10
2.870000e+001,1.161664e+003,10
2.880000e+001,1.161589e+003,10
2.890000e+001,1.161262e+003,10
2.900000e+001,1.160483e+003,10
2.910000e+001,1.160730e+003,10
2.920000e+001,1.160162e+003,10
2.930000e+001,1.160202e+003,10
2.940000e+001,1.160654e+003,10
2.950000e+001,1.160561e+003,10
2.960000e+001,1.160432e+003,10
2.970000e+001,1.160065e+003,10
2.980000e+001,1.159860e+003,10
2.990000e+001,1.159860e+003,10
3.000000e+001,1.159694e+003,10
3.010000e+001,1.159478e+003,10
3.020000e+001,1.159908e+003,10
3.030000e+001,1.159449e+003,10
3.040000e+001,1.159301e+003,10
3.050000e+001,1.158940e+003,10
3.060000e+001,1.159179e+003,10
3.070000e+001,1.159723e+003,10
3.080000e+001,1.159060e+003,10
3.090000e+001,1.159290e+003,10
3.100000e+001,1.158942e+003,10
3.110000e+001,1.158666e+003,10
3.120000e+001,1.158685e+003,10
3.130000e+001,1.158650e+003,10
3.140000e+001,1.158457e+003,10
3.150000e+001,1.158465e+003,10
3.160000e+001,1.158022e+003,10
3.170000e+001,1.157969e+003,10
3.180000e+001,1.157705e+003,10
3.190000e+001,1.157210e+003,10
3.200000e+001,1.156810e+003,10
3.210000e+001,1.156563e+003,10
3.220000e+001,1.156197e+003,10
3.230000e+001,1.156254e+003,10
3.240000e+001,1.155915e+003,10
3.250000e+001,1.155745e+003,10
3.260000e+001,1.156128e+003,10
3.270000e+001,1.156372e+003,10
3.280000e+001,1.155589e+003,10
3.290000e+001,1.155380e+003,10
3.300000e+001,1.154694e+003,10
3.310000e+001,1.154166e+003,10
3.320000e+001,1.154196e+003,10
3.330000e+001,1.153887e+003,10
3.340000e+001,1.153621e+003,10
3.350000e+001,1.153964e+003,10
3.360000e+001,1.153632e+003,10
3.370000e+001,1.153618e+003,10
3.380000e+001,1.153098e+003,10
3.390000e+001,1.152853e+003,10
3.400000e+001,1.152640e+003,10
3.410000e+001,1.151955e+003,10
3.420000e+001,1.151595e+003,10
3.430000e+001,1.151616e+003,10
3.440000e+001,1.151353e+003,10
3.450000e+001,1.149956e+003,10
3.460000e+001,1.149819e+003,10
3.470000e+001,1.149448e+003,10
3.480000e+001,1.149012e+003,10
3.490000e+001,1.148673e+003,10
3.500000e+001,1.148038e+003,10
3.510000e+001,1.148317e+003,10
3.520000e+001,1.147974e+003,10
3.530000e+001,1.147685e+003,10
3.540000e+001,1.147438e+003,10
3.550000e+001,1.147587e+003,10
3.560000e+001,1.147489e+003,10
3.570000e+001,1.147067e+003,10
3.580000e+001,1.145912e+003,10
3.590000e+001,1.145207e+003,10
3.600000e+001,1.144959e+003,10
3.610000e+001,1.144941e+003,10
3.620000e+001,1.144609e+003,10
3.630000e+001,1.144022e+003,10
3.640000e+001,1.143758e+003,10
3.650000e+001,1.142759e+003,10
3.660000e+001,1.142415e+003,10
3.670000e+001,1.142415e+003,10
3.680000e+001,1.142641e+003,10
3.690000e+001,1.142916e+003,10
3.700000e+001,1.143205e+003,10
3.710000e+001,1.143022e+003,10
3.720000e+001,1.142661e+003,10
3.730000e+001,1.142546e+003,10
3.740000e+001,1.142645e+003,10
3.750000e+001,1.142607e+003,10
3.760000e+001,1.142401e+003,10
3.770000e+001,1.142195e+003,10
3.780000e+001,1.141954e+003,10
3.790000e+001,1.142162e+003,10
3.800000e+001,1.142016e+003,10
3.810000e+001,1.141643e+003,10
3.820000e+001,1.141860e+003,10
3.830000e+001,1.142001e+003,10
3.840000e+001,1.142104e+003,10
3.850000e+001,1.141824e+003,10
3.860000e+001,1.142018e+003,10
3.870000e+001,1.141696e+003,10
3.880000e+001,1.140721e+003,10
3.890000e+001,1.140499e+003,10
3.900000e+001,1.140583e+003,10
3.910000e+001,1.139968e+003,10
3.920000e+001,1.139341e+003,10
3.930000e+001,1.139368e+003,10
3.940000e+001,1.139220e+003,10
3.950000e+001,1.139118e+003,10
3.960000e+001,1.138776e+003,10
3.970000e+001,1.138315e+003,10
3.980000e+001,1.138279e+003,10
3.990000e+001,1.138620e+003,10
4.000000e+001,1.137896e+003,10
4.010000e+001,1.137565e+003,10
4.020000e+001,1.137395e+003,10
4.030000e+001,1.136830e+003,10
4.040000e+001,1.136605e+003,10
4.050000e+001,1.136529e+003,10
4.060000e+001,1.136147e+003,10
4.070000e+001,1.135703e+003,10
4.080000e+001,1.135705e+003,10
4.090000e+001,1.135045e+003,10
4.100000e+001,1.134075e+003,10
4.110000e+001,1.134216e+003,10
4.120000e+001,1.133696e+003,10
4.130000e+001,1.133572e+003,10
4.140000e+001,1.133562e+003,10
4.150000e+001,1.133462e+003,10
4.160000e+001,1.133395e+003,10
4.170000e+001,1.133313e+003,10
4.180000e+001,1.133146e+003,10
4.190000e+001,1.132940e+003,10
4.200000e+001,1.132579e+003,10
4.210000e+001,1.132585e+003,10
4.220000e+001,1.132362e+003,10
4.230000e+001,1.132429e+003,10
4.240000e+001,1.132561e+003,10
4.250000e+001,1.131980e+003,10
4.260000e+001,1.131555e+003,10
4.270000e+001,1.131486e+003,10
4.280000e+001,1.131115e+003,10
4.290000e+001,1.131201e+003,10
4.300000e+001,1.131292e+003,10
4.310000e+001,1.130835e+003,10
4.320000e+001,1.130199e+003,10
4.330000e+001,1.129892e+003,10
4.340000e+001,1.129157e+003,10
4.350000e+001,1.129156e+003,10
4.360000e+001,1.128534e+003,10
4.370000e+001,1.128091e+003,10
4.380000e+001,1.127835e+003,10
4.390000e+001,1.126939e+003,10
4.400000e+001,1.126325e+003,10
4.410000e+001,1.125934e+003,10
4.420000e+001,1.126105e+003,10
4.430000e+001,1.126267e+003,10
4.440000e+001,1.125280e+003,10
4.450000e+001,1.124881e+003,10
4.460000e+001,1.124520e+003,10
4.470000e+001,1.124615e+003,10
4.480000e+001,1.124719e+003,10
4.490000e+001,1.124504e+003,10
4.500000e+001,1.124294e+003,10
4.510000e+001,1.124360e+003,10
4.520000e+001,1.124581e+003,10
4.530000e+001,1.124628e+003,10
4.540000e+001,1.123875e+003,10
4.550000e+001,1.123444e+003,10
4.560000e+001,1.123392e+003,10
4.570000e+001,1.123253e+003,10
4.580000e+001,1.123415e+003,10
4.590000e+001,1.122973e+003,10
4.600000e+001,1.122985e+003,10
4.610000e+001,1.122731e+003,10
4.620000e+001,1.122805e+003,10
4.630000e+001,1.123161e+003,10
4.640000e+001,1.122371e+003,10
4.650000e+001,1.122083e+003,10
4.660000e+001,1.121825e+003,10
4.670000e+001,1.121729e+003,10
4.680000e+001,1.121197e+003,10
4.690000e+001,1.120484e+003,10
4.700000e+001,1.120257e+003,10
4.710000e+001,1.119973e+003,10
4.720000e+001,1.119632e+003,10
4.730000e+001,1.118470e+003,10
4.740000e+001,1.118195e+003,10
4.750000e+001,1.117989e+003,10
4.760000e+001,1.117345e+003,10
4.770000e+001,1.117156e+003,10
4.780000e+001,1.116658e+003,10
4.790000e+001,1.116859e+003,10
4.800000e+001,1.116609e+003,10
4.810000e+001,1.116783e+003,10
4.820000e+001,1.115961e+003,10
4.830000e+001,1.115542e+003,10
4.840000e+001,1.115785e+003,10
4.850000e+001,1.115971e+003,10
4.860000e+001,1.115657e+003,10
4.870000e+001,1.115554e+003,10
4.880000e+001,1.115089e+003,10
4.890000e+001,1.115320e+003,10
4.900000e+001,1.114555e+003,10
4.910000e+001,1.114391e+003,10
4.920000e+001,1.114338e+003,10
4.930000e+001,1.113848e+003,10
4.940000e+001,1.113467e+003,10
4.950000e+001,1.113382e+003,10
4.960000e+001,1.113428e+003,10
4.970000e+001,1.113282e+003,10
4.980000e+001,1.112711e+003,10
4.990000e+001,1.112010e+003,10
5.000000e+001,1.112308e+003,10
5.010000e+001,1.112199e+003,10
5.020000e+001,1.112114e+003,10
5.030000e+001,1.112402e+003,10
5.040000e+001,1.112117e+003,10
5.050000e+001,1.111992e+003,10
5.060000e+001,1.111998e+003,10
5.070000e+001,1.111648e+003,10
5.080000e+001,1.110842e+003,10
5.090000e+001,1.111038e+003,10
5.100000e+001,1.110329e+003,10
5.110000e+001,1.110289e+003,10
5.120000e+001,1.110369e+003,10
5.130000e+001,1.109229e+003,10
5.140000e+001,1.109027e+003,10
5.150000e+001,1.108576e+003,10
5.160000e+001,1.108683e+003,10
5.170000e+001,1.108448e+003,10
5.180000e+001,1.108130e+003,10
5.190000e+001,1.107937e+003,10
5.200000e+001,1.107285e+003,10
5.210000e+001,1.107255e+003,10
5.220000e+001,1.106837e+003,10
5.230000e+001,1.106398e+003,10
5.240000e+001,1.106592e+003,10
5.250000e+001,1.105864e+003,10
5.260000e+001,1.105891e+003,10
5.270000e+001,1.105295e+003,10
5.280000e+001,1.104922e+003,10
5.290000e+001,1.104037e+003,10
5.300000e+001,1.103783e+003,10
5.310000e+001,1.103269e+003,10
5.320000e+001,1.102878e+003,10
5.330000e+001,1.101982e+003,10
5.340000e+001,1.101379e+003,10
5.350000e+001,1.101085e+003,10
5.360000e+001,1.101255e+003,10
5.370000e+001,1.100940e+003,10
5.380000e+001,1.100723e+003,10
5.390000e+001,1.100632e+003,10
5.400000e+001,1.100603e+003,10
5.410000e+001,1.100607e+003,10
5.420000e+001,1.100327e+003,10
5.430000e+001,1.100541e+003,10
5.440000e+001,1.099548e+003,10
5.450000e+001,1.099284e+003,10
5.460000e+001,1.099089e+003,10
5.470000e+001,1.099229e+003,10
5.480000e+001,1.098620e+003,10
5.490000e+001,1.098332e+003,10
5.500000e+001,1.097948e+003,10
5.510000e+001,1.097313e+003,10
5.520000e+001,1.097313e+003,10
5.530000e+001,1.096698e+003,10
5.540000e+001,1.096185e+003,10
5.550000e+001,1.096173e+003,10
5.560000e+001,1.095809e+003,10
5.570000e+001,1.096038e+003,10
5.580000e+001,1.096161e+003,10
5.590000e+001,1.096464e+003,10
5.600000e+001,1.095773e+003,10
5.610000e+001,1.095591e+003,10
5.620000e+001,1.095625e+003,10
5.630000e+001,1.095430e+003,10
5.640000e+001,1.095133e+003,10
5.650000e+001,1.094856e+003,10
5.660000e+001,1.094884e+003,10
5.670000e+001,1.094483e+003,10
5.680000e+001,1.093829e+003,10
5.690000e+001,1.093332e+003,10
5.700000e+001,1.093071e+003,10
5.710000e+001,1.092704e+003,10
5.720000e+001,1.091811e+003,10
5.730000e+001,1.092110e+003,10
5.740000e+001,1.091997e+003,10
5.750000e+001,1.092351e+003,10
5.760000e+001,1.091825e+003,10
5.770000e+001,1.091350e+003,10
5.780000e+001,1.091046e+003,10
5.790000e+001,1.090866e+003,10
5.800000e+001,1.090610e+003,10
5.810000e+001,1.089662e+003,10
5.820000e+001,1.088901e+003,10
5.830000e+001,1.088403e+003,10
5.840000e+001,1.088168e+003,10
5.850000e+001,1.087434e+003,10
5.860000e+001,1.087365e+003,10
5.870000e+001,1.087012e+003,10
5.880000e+001,1.087059e+003,10
5.890000e+001,1.086833e+003,10
5.900000e+001,1.087074e+003,10
5.910000e+001,1.086522e+003,10
5.920000e+001,1.086424e+003,10
5.930000e+001,1.085771e+003,10
5.940000e+001,1.085373e+003,10
5.950000e+001,1.084868e+003,10
5.960000e+001,1.084107e+003,10
5.970000e+001,1.083712e+003,10
5.980000e+001,1.084039e+003,10
5.990000e+001,1.084131e+003,10
6.000000e+001,1.083997e+003,10
6.010000e+001,1.083896e+003,10
6.020000e+001,1.083208e+003,10
6.030000e+001,1.082949e+003,10
6.040000e+001,1.082654e+003,10
6.050000e+001,1.082422e+003,10
6.060000e+001,1.081474e+003,10
6.070000e+001,1.080653e+003,10
6.080000e+001,1.081199e+003,10
6.090000e+001,1.080864e+003,10
6.100000e+001,1.080438e+003,10
6.110000e+001,1.080447e+003,10
6.120000e+001,1.080196e+003,10
6.130000e+001,1.079602e+003,10
6.140000e+001,1.078495e+003,10
6.150000e+001,1.078533e+003,10
6.160000e+001,1.078182e+003,10
6.170000e+001,1.077036e+003,10
6.180000e+001,1.076526e+003,10
6.190000e+001,1.076603e+003,10
6.200000e+001,1.076697e+003,10
6.210000e+001,1.075647e+003,10
6.220000e+001,1.075301e+003,10
6.230000e+001,1.075520e+003,10
6.240000e+001,1.075057e+003,10
6.250000e+001,1.074531e+003,10
6.260000e+001,1.074022e+003,10
6.270000e+001,1.073827e+003,10
6.280000e+001,1.071945e+003,10
6.290000e+001,1.071616e+003,10
6.300000e+001,1.071576e+003,10
6.310000e+001,1.071176e+003,10
6.320000e+001,1.071041e+003,10
6.330000e+001,1.071933e+003,10
6.340000e+001,1.071557e+003,10
6.350000e+001,1.071787e+003,10
6.360000e+001,1.071231e+003,10
6.370000e+001,1.070821e+003,10
6.380000e+001,1.070441e+003,10
6.390000e+001,1.070794e+003,10
6.400000e+001,1.070235e+003,10
6.410000e+001,1.070038e+003,10
6.420000e+001,1.069419e+003,10
6.430000e+001,1.068359e+003,10
6.440000e+001,1.067629e+003,10
6.450000e+001,1.066631e+003,10
6.460000e+001,1.066628e+003,10
6.470000e+001,1.066605e+003,10
6.480000e+001,1.066844e+003,10
6.490000e+001,1.066583e+003,10
